av_key,split,actor_id,label_id,label_name,emotion_code,audio_sample_id,audio_path,video_sample_id,video_path
01-01-01-01-01-01,train,1,0,neutral,01,03-01-01-01-01-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,02-01-01-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-01-01-01.mp4
01-01-01-01-02-01,train,1,0,neutral,01,03-01-01-01-01-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,02-01-01-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-01-02-01.mp4
01-01-01-02-01-01,train,1,0,neutral,01,03-01-01-01-02-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,02-01-01-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-02-01-01.mp4
01-01-01-02-02-01,train,1,0,neutral,01,03-01-01-01-02-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,02-01-01-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-02-02-01.mp4
01-02-01-01-01-01,train,1,1,calm,02,03-01-02-01-01-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,02-01-02-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-01-01-01.mp4
01-02-01-01-02-01,train,1,1,calm,02,03-01-02-01-01-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,02-01-02-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-01-02-01.mp4
01-02-01-02-01-01,train,1,1,calm,02,03-01-02-01-02-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,02-01-02-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-02-01-01.mp4
01-02-01-02-02-01,train,1,1,calm,02,03-01-02-01-02-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,02-01-02-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-02-02-01.mp4
01-02-02-01-01-01,train,1,1,calm,02,03-01-02-02-01-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,02-01-02-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-01-01-01.mp4
01-02-02-01-02-01,train,1,1,calm,02,03-01-02-02-01-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,02-01-02-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-01-02-01.mp4
01-02-02-02-01-01,train,1,1,calm,02,03-01-02-02-02-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav,02-01-02-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-02-01-01.mp4
01-02-02-02-02-01,train,1,1,calm,02,03-01-02-02-02-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav,02-01-02-02-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-02-02-01.mp4
01-03-01-01-01-01,train,1,2,happy,03,03-01-03-01-01-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,02-01-03-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-01-01-01-01.mp4
01-03-01-01-02-01,train,1,2,happy,03,03-01-03-01-01-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,02-01-03-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-01-01-02-01.mp4
01-03-01-02-01-01,train,1,2,happy,03,03-01-03-01-02-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,02-01-03-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-01-02-01-01.mp4
01-03-01-02-02-01,train,1,2,happy,03,03-01-03-01-02-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-02-01.wav,02-01-03-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-01-02-02-01.mp4
01-03-02-01-01-01,train,1,2,happy,03,03-01-03-02-01-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav,02-01-03-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-02-01-01-01.mp4
01-03-02-01-02-01,train,1,2,happy,03,03-01-03-02-01-02-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-02-01.wav,02-01-03-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-02-01-02-01.mp4
01-03-02-02-01-01,train,1,2,happy,03,03-01-03-02-02-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav,02-01-03-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-02-02-01-01.mp4
