sample_id,stem,av_key,video_path,actor_id,split,emotion_code,label_id,label_name,intensity_code,statement_code,repetition_code
02-01-01-01-01-01-01,02-01-01-01-01-01-01,01-01-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-01-01-01.mp4,1,train,01,0,neutral,01,01,01
02-01-01-01-01-02-01,02-01-01-01-01-02-01,01-01-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-01-02-01.mp4,1,train,01,0,neutral,01,01,02
02-01-01-01-02-01-01,02-01-01-01-02-01-01,01-01-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-02-01-01.mp4,1,train,01,0,neutral,01,02,01
02-01-01-01-02-02-01,02-01-01-01-02-02-01,01-01-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-02-02-01.mp4,1,train,01,0,neutral,01,02,02
02-01-02-01-01-01-01,02-01-02-01-01-01-01,01-02-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-01-01-01.mp4,1,train,02,1,calm,01,01,01
02-01-02-01-01-02-01,02-01-02-01-01-02-01,01-02-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-01-02-01.mp4,1,train,02,1,calm,01,01,02
02-01-02-01-02-01-01,02-01-02-01-02-01-01,01-02-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-02-01-01.mp4,1,train,02,1,calm,01,02,01
02-01-02-01-02-02-01,02-01-02-01-02-02-01,01-02-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-02-02-01.mp4,1,train,02,1,calm,01,02,02
02-01-02-02-01-01-01,02-01-02-02-01-01-01,01-02-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-01-01-01.mp4,1,train,02,1,calm,02,01,01
02-01-02-02-01-02-01,02-01-02-02-01-02-01,01-02-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-01-02-01.mp4,1,train,02,1,calm,02,01,02
02-01-02-02-02-01-01,02-01-02-02-02-01-01,01-02-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-02-01-01.mp4,1,train,02,1,calm,02,02,01
02-01-02-02-02-02-01,02-01-02-02-02-02-01,01-02-02-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-02-02-01.mp4,1,train,02,1,calm,02,02,02
02-01-03-01-01-01-01,02-01-03-01-01-01-01,01-03-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-01-01-01-01.mp4,1,train,03,2,happy,01,01,01
02-01-03-01-01-02-01,02-01-03-01-01-02-01,01-03-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-01-01-02-01.mp4,1,train,03,2,happy,01,01,02
02-01-03-01-02-01-01,02-01-03-01-02-01-01,01-03-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-01-02-01-01.mp4,1,train,03,2,happy,01,02,01
02-01-03-01-02-02-01,02-01-03-01-02-02-01,01-03-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-01-02-02-01.mp4,1,train,03,2,happy,01,02,02
02-01-03-02-01-01-01,02-01-03-02-01-01-01,01-03-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-02-01-01-01.mp4,1,train,03,2,happy,02,01,01
02-01-03-02-01-02-01,02-01-03-02-01-02-01,01-03-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-02-01-02-01.mp4,1,train,03,2,happy,02,01,02
02-01-03-02-02-01-01,02-01-03-02-02-01-01,01-03-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-02-02-01-01.mp4,1,train,03,2,happy,02,02,01
02-01-03-02-02-02-01,02-01-03-02-02-02-01,01-03-02-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-03-02-02-02-01.mp4,1,train,03,2,happy,02,02,02
02-01-04-01-01-01-01,02-01-04-01-01-01-01,01-04-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-04-01-01-01-01.mp4,1,train,04,3,sad,01,01,01
02-01-04-01-01-02-01,02-01-04-01-01-02-01,01-04-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-04-01-01-02-01.mp4,1,train,04,3,sad,01,01,02
02-01-04-01-02-01-01,02-01-04-01-02-01-01,01-04-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-04-01-02-01-01.mp4,1,train,04,3,sad,01,02,01
02-01-04-01-02-02-01,02-01-04-01-02-02-01,01-04-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-04-01-02-02-01.mp4,1,train,04,3,sad,01,02,02
02-01-04-02-01-01-01,02-01-04-02-01-01-01,01-04-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-04-02-01-01-01.mp4,1,train,04,3,sad,02,01,01
02-01-04-02-01-02-01,02-01-04-02-01-02-01,01-04-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-04-02-01-02-01.mp4,1,train,04,3,sad,02,01,02
02-01-04-02-02-01-01,02-01-04-02-02-01-01,01-04-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-04-02-02-01-01.mp4,1,train,04,3,sad,02,02,01
02-01-04-02-02-02-01,02-01-04-02-02-02-01,01-04-02-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-04-02-02-02-01.mp4,1,train,04,3,sad,02,02,02
02-01-05-01-01-01-01,02-01-05-01-01-01-01,01-05-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-05-01-01-01-01.mp4,1,train,05,4,angry,01,01,01
02-01-05-01-01-02-01,02-01-05-01-01-02-01,01-05-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-05-01-01-02-01.mp4,1,train,05,4,angry,01,01,02
02-01-05-01-02-01-01,02-01-05-01-02-01-01,01-05-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-05-01-02-01-01.mp4,1,train,05,4,angry,01,02,01
02-01-05-01-02-02-01,02-01-05-01-02-02-01,01-05-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-05-01-02-02-01.mp4,1,train,05,4,angry,01,02,02
02-01-05-02-01-01-01,02-01-05-02-01-01-01,01-05-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-05-02-01-01-01.mp4,1,train,05,4,angry,02,01,01
02-01-05-02-01-02-01,02-01-05-02-01-02-01,01-05-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-05-02-01-02-01.mp4,1,train,05,4,angry,02,01,02
02-01-05-02-02-01-01,02-01-05-02-02-01-01,01-05-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-05-02-02-01-01.mp4,1,train,05,4,angry,02,02,01
02-01-05-02-02-02-01,02-01-05-02-02-02-01,01-05-02-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-05-02-02-02-01.mp4,1,train,05,4,angry,02,02,02
02-01-06-01-01-01-01,02-01-06-01-01-01-01,01-06-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-06-01-01-01-01.mp4,1,train,06,5,fearful,01,01,01
02-01-06-01-01-02-01,02-01-06-01-01-02-01,01-06-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-06-01-01-02-01.mp4,1,train,06,5,fearful,01,01,02
02-01-06-01-02-01-01,02-01-06-01-02-01-01,01-06-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-06-01-02-01-01.mp4,1,train,06,5,fearful,01,02,01
02-01-06-01-02-02-01,02-01-06-01-02-02-01,01-06-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-06-01-02-02-01.mp4,1,train,06,5,fearful,01,02,02
02-01-06-02-01-01-01,02-01-06-02-01-01-01,01-06-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-06-02-01-01-01.mp4,1,train,06,5,fearful,02,01,01
02-01-06-02-01-02-01,02-01-06-02-01-02-01,01-06-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-06-02-01-02-01.mp4,1,train,06,5,fearful,02,01,02
02-01-06-02-02-01-01,02-01-06-02-02-01-01,01-06-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-06-02-02-01-01.mp4,1,train,06,5,fearful,02,02,01
02-01-06-02-02-02-01,02-01-06-02-02-02-01,01-06-02-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-06-02-02-02-01.mp4,1,train,06,5,fearful,02,02,02
02-01-07-01-01-01-01,02-01-07-01-01-01-01,01-07-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-07-01-01-01-01.mp4,1,train,07,6,disgust,01,01,01
02-01-07-01-01-02-01,02-01-07-01-01-02-01,01-07-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-07-01-01-02-01.mp4,1,train,07,6,disgust,01,01,02
02-01-07-01-02-01-01,02-01-07-01-02-01-01,01-07-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-07-01-02-01-01.mp4,1,train,07,6,disgust,01,02,01
02-01-07-01-02-02-01,02-01-07-01-02-02-01,01-07-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-07-01-02-02-01.mp4,1,train,07,6,disgust,01,02,02
02-01-07-02-01-01-01,02-01-07-02-01-01-01,01-07-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-07-02-01-01-01.mp4,1,train,07,6,disgust,02,01,01
02-01-07-02-01-02-01,02-01-07-02-01-02-01,01-07-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-07-02-01-02-01.mp4,1,train,07,6,disgust,02,01,02
02-01-07-02-02-01-01,02-01-07-02-02-01-01,01-07-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-07-02-02-01-01.mp4,1,train,07,6,disgust,02,02,01
02-01-07-02-02-02-01,02-01-07-02-02-02-01,01-07-02-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-07-02-02-02-01.mp4,1,train,07,6,disgust,02,02,02
02-01-08-01-01-01-01,02-01-08-01-01-01-01,01-08-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-08-01-01-01-01.mp4,1,train,08,7,surprise,01,01,01
02-01-08-01-01-02-01,02-01-08-01-01-02-01,01-08-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-08-01-01-02-01.mp4,1,train,08,7,surprise,01,01,02
02-01-08-01-02-01-01,02-01-08-01-02-01-01,01-08-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-08-01-02-01-01.mp4,1,train,08,7,surprise,01,02,01
02-01-08-01-02-02-01,02-01-08-01-02-02-01,01-08-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-08-01-02-02-01.mp4,1,train,08,7,surprise,01,02,02
02-01-08-02-01-01-01,02-01-08-02-01-01-01,01-08-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-08-02-01-01-01.mp4,1,train,08,7,surprise,02,01,01
02-01-08-02-01-02-01,02-01-08-02-01-02-01,01-08-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-08-02-01-02-01.mp4,1,train,08,7,surprise,02,01,02
02-01-08-02-02-01-01,02-01-08-02-02-01-01,01-08-02-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-08-02-02-01-01.mp4,1,train,08,7,surprise,02,02,01
02-01-08-02-02-02-01,02-01-08-02-02-02-01,01-08-02-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-08-02-02-02-01.mp4,1,train,08,7,surprise,02,02,02
02-01-01-01-01-01-02,02-01-01-01-01-01-02,01-01-01-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-01-01-01-01-02.mp4,2,train,01,0,neutral,01,01,01
02-01-01-01-01-02-02,02-01-01-01-01-02-02,01-01-01-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-01-01-01-02-02.mp4,2,train,01,0,neutral,01,01,02
02-01-01-01-02-01-02,02-01-01-01-02-01-02,01-01-01-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-01-01-02-01-02.mp4,2,train,01,0,neutral,01,02,01
02-01-01-01-02-02-02,02-01-01-01-02-02-02,01-01-01-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-01-01-02-02-02.mp4,2,train,01,0,neutral,01,02,02
02-01-02-01-01-01-02,02-01-02-01-01-01-02,01-02-01-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-02-01-01-01-02.mp4,2,train,02,1,calm,01,01,01
02-01-02-01-01-02-02,02-01-02-01-01-02-02,01-02-01-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-02-01-01-02-02.mp4,2,train,02,1,calm,01,01,02
02-01-02-01-02-01-02,02-01-02-01-02-01-02,01-02-01-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-02-01-02-01-02.mp4,2,train,02,1,calm,01,02,01
02-01-02-01-02-02-02,02-01-02-01-02-02-02,01-02-01-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-02-01-02-02-02.mp4,2,train,02,1,calm,01,02,02
02-01-02-02-01-01-02,02-01-02-02-01-01-02,01-02-02-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-02-02-01-01-02.mp4,2,train,02,1,calm,02,01,01
02-01-02-02-01-02-02,02-01-02-02-01-02-02,01-02-02-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-02-02-01-02-02.mp4,2,train,02,1,calm,02,01,02
02-01-02-02-02-01-02,02-01-02-02-02-01-02,01-02-02-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-02-02-02-01-02.mp4,2,train,02,1,calm,02,02,01
02-01-02-02-02-02-02,02-01-02-02-02-02-02,01-02-02-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-02-02-02-02-02.mp4,2,train,02,1,calm,02,02,02
02-01-03-01-01-01-02,02-01-03-01-01-01-02,01-03-01-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-03-01-01-01-02.mp4,2,train,03,2,happy,01,01,01
02-01-03-01-01-02-02,02-01-03-01-01-02-02,01-03-01-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-03-01-01-02-02.mp4,2,train,03,2,happy,01,01,02
02-01-03-01-02-01-02,02-01-03-01-02-01-02,01-03-01-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-03-01-02-01-02.mp4,2,train,03,2,happy,01,02,01
02-01-03-01-02-02-02,02-01-03-01-02-02-02,01-03-01-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-03-01-02-02-02.mp4,2,train,03,2,happy,01,02,02
02-01-03-02-01-01-02,02-01-03-02-01-01-02,01-03-02-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-03-02-01-01-02.mp4,2,train,03,2,happy,02,01,01
02-01-03-02-01-02-02,02-01-03-02-01-02-02,01-03-02-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-03-02-01-02-02.mp4,2,train,03,2,happy,02,01,02
02-01-03-02-02-01-02,02-01-03-02-02-01-02,01-03-02-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-03-02-02-01-02.mp4,2,train,03,2,happy,02,02,01
02-01-03-02-02-02-02,02-01-03-02-02-02-02,01-03-02-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-03-02-02-02-02.mp4,2,train,03,2,happy,02,02,02
02-01-04-01-01-01-02,02-01-04-01-01-01-02,01-04-01-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-04-01-01-01-02.mp4,2,train,04,3,sad,01,01,01
02-01-04-01-01-02-02,02-01-04-01-01-02-02,01-04-01-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-04-01-01-02-02.mp4,2,train,04,3,sad,01,01,02
02-01-04-01-02-01-02,02-01-04-01-02-01-02,01-04-01-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-04-01-02-01-02.mp4,2,train,04,3,sad,01,02,01
02-01-04-01-02-02-02,02-01-04-01-02-02-02,01-04-01-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-04-01-02-02-02.mp4,2,train,04,3,sad,01,02,02
02-01-04-02-01-01-02,02-01-04-02-01-01-02,01-04-02-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-04-02-01-01-02.mp4,2,train,04,3,sad,02,01,01
02-01-04-02-01-02-02,02-01-04-02-01-02-02,01-04-02-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-04-02-01-02-02.mp4,2,train,04,3,sad,02,01,02
02-01-04-02-02-01-02,02-01-04-02-02-01-02,01-04-02-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-04-02-02-01-02.mp4,2,train,04,3,sad,02,02,01
02-01-04-02-02-02-02,02-01-04-02-02-02-02,01-04-02-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-04-02-02-02-02.mp4,2,train,04,3,sad,02,02,02
02-01-05-01-01-01-02,02-01-05-01-01-01-02,01-05-01-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-05-01-01-01-02.mp4,2,train,05,4,angry,01,01,01
02-01-05-01-01-02-02,02-01-05-01-01-02-02,01-05-01-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-05-01-01-02-02.mp4,2,train,05,4,angry,01,01,02
02-01-05-01-02-01-02,02-01-05-01-02-01-02,01-05-01-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-05-01-02-01-02.mp4,2,train,05,4,angry,01,02,01
02-01-05-01-02-02-02,02-01-05-01-02-02-02,01-05-01-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-05-01-02-02-02.mp4,2,train,05,4,angry,01,02,02
02-01-05-02-01-01-02,02-01-05-02-01-01-02,01-05-02-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-05-02-01-01-02.mp4,2,train,05,4,angry,02,01,01
02-01-05-02-01-02-02,02-01-05-02-01-02-02,01-05-02-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-05-02-01-02-02.mp4,2,train,05,4,angry,02,01,02
02-01-05-02-02-01-02,02-01-05-02-02-01-02,01-05-02-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-05-02-02-01-02.mp4,2,train,05,4,angry,02,02,01
02-01-05-02-02-02-02,02-01-05-02-02-02-02,01-05-02-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-05-02-02-02-02.mp4,2,train,05,4,angry,02,02,02
02-01-06-01-01-01-02,02-01-06-01-01-01-02,01-06-01-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-06-01-01-01-02.mp4,2,train,06,5,fearful,01,01,01
02-01-06-01-01-02-02,02-01-06-01-01-02-02,01-06-01-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-06-01-01-02-02.mp4,2,train,06,5,fearful,01,01,02
02-01-06-01-02-01-02,02-01-06-01-02-01-02,01-06-01-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-06-01-02-01-02.mp4,2,train,06,5,fearful,01,02,01
02-01-06-01-02-02-02,02-01-06-01-02-02-02,01-06-01-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-06-01-02-02-02.mp4,2,train,06,5,fearful,01,02,02
02-01-06-02-01-01-02,02-01-06-02-01-01-02,01-06-02-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-06-02-01-01-02.mp4,2,train,06,5,fearful,02,01,01
02-01-06-02-01-02-02,02-01-06-02-01-02-02,01-06-02-01-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-06-02-01-02-02.mp4,2,train,06,5,fearful,02,01,02
02-01-06-02-02-01-02,02-01-06-02-02-01-02,01-06-02-02-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-06-02-02-01-02.mp4,2,train,06,5,fearful,02,02,01
02-01-06-02-02-02-02,02-01-06-02-02-02-02,01-06-02-02-02-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-06-02-02-02-02.mp4,2,train,06,5,fearful,02,02,02
02-01-07-01-01-01-02,02-01-07-01-01-01-02,01-07-01-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-07-01-01-01-02.mp4,2,train,07,6,disgust,01,01,01
