av_key,sample_id,stem,wav_path,actor_id,split,emotion_code,label_id,label_name,intensity_code,statement_code,repetition_code,pred_id,pred_name,prob_neutral,prob_calm,prob_happy,prob_sad,prob_angry,prob_fearful,prob_disgust,prob_surprise,embedding_path,embedding_dim
01-01-01-01-01-01,03-01-01-01-01-01-01,03-01-01-01-01-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,1,train,01,0,neutral,01,01,01,0,neutral,0.252645,0.115753,0.10358,0.08257,0.113358,0.097017,0.115571,0.119505,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-01.npy,96
01-01-01-01-01-02,03-01-01-01-01-01-02,03-01-01-01-01-01-02,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-01-02.wav,2,train,01,0,neutral,01,01,01,0,neutral,0.246202,0.088789,0.103228,0.115378,0.106713,0.094592,0.101151,0.143948,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-02.npy,96
01-01-01-01-01-03,03-01-01-01-01-01-03,03-01-01-01-01-01-03,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-01-03.wav,3,train,01,0,neutral,01,01,01,0,neutral,0.254565,0.108776,0.113323,0.145298,0.106495,0.065003,0.092363,0.114176,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-03.npy,96
01-01-01-01-01-04,03-01-01-01-01-01-04,03-01-01-01-01-01-04,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-01-01-04.wav,4,train,01,0,neutral,01,01,01,0,neutral,0.261108,0.11559,0.11118,0.102648,0.113198,0.075104,0.101364,0.119809,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-04.npy,96
01-01-01-01-01-05,03-01-01-01-01-01-05,03-01-01-01-01-01-05,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-01-05.wav,5,train,01,0,neutral,01,01,01,0,neutral,0.24198,0.153745,0.077647,0.08975,0.121354,0.100459,0.090863,0.124201,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-05.npy,96
01-01-01-01-01-06,03-01-01-01-01-01-06,03-01-01-01-01-01-06,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-01-01-06.wav,6,train,01,0,neutral,01,01,01,0,neutral,0.256122,0.09099,0.120165,0.110386,0.097158,0.085227,0.126074,0.113877,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-06.npy,96
01-01-01-01-01-07,03-01-01-01-01-01-07,03-01-01-01-01-01-07,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_07/03-01-01-01-01-01-07.wav,7,train,01,0,neutral,01,01,01,0,neutral,0.261861,0.113698,0.123926,0.094143,0.113424,0.088495,0.107835,0.096618,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-07.npy,96
01-01-01-01-01-08,03-01-01-01-01-01-08,03-01-01-01-01-01-08,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-01-01-08.wav,8,train,01,0,neutral,01,01,01,0,neutral,0.236332,0.118375,0.096461,0.13428,0.091219,0.08835,0.083872,0.151112,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-08.npy,96
01-01-01-01-01-09,03-01-01-01-01-01-09,03-01-01-01-01-01-09,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_09/03-01-01-01-01-01-09.wav,9,train,01,0,neutral,01,01,01,0,neutral,0.249092,0.119101,0.107415,0.097074,0.110945,0.102501,0.092502,0.12137,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-09.npy,96
01-01-01-01-01-10,03-01-01-01-01-01-10,03-01-01-01-01-01-10,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_10/03-01-01-01-01-01-10.wav,10,train,01,0,neutral,01,01,01,0,neutral,0.243225,0.11604,0.113345,0.086552,0.109359,0.086038,0.116283,0.129158,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-10.npy,96
01-01-01-01-01-11,03-01-01-01-01-01-11,03-01-01-01-01-01-11,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_11/03-01-01-01-01-01-11.wav,11,train,01,0,neutral,01,01,01,0,neutral,0.248704,0.133428,0.125703,0.090529,0.088433,0.115582,0.095274,0.102347,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-11.npy,96
01-01-01-01-01-12,03-01-01-01-01-01-12,03-01-01-01-01-01-12,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_12/03-01-01-01-01-01-12.wav,12,train,01,0,neutral,01,01,01,0,neutral,0.256478,0.152417,0.102056,0.118828,0.090052,0.074362,0.09612,0.109686,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-12.npy,96
01-01-01-01-01-13,03-01-01-01-01-01-13,03-01-01-01-01-01-13,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_13/03-01-01-01-01-01-13.wav,13,train,01,0,neutral,01,01,01,0,neutral,0.245786,0.152675,0.083854,0.10502,0.097431,0.077986,0.107353,0.129896,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-13.npy,96
