av_key,sample_id,stem,wav_path,actor_id,split,emotion_code,label_id,label_name,intensity_code,statement_code,repetition_code,pred_id,pred_name,prob_neutral,prob_calm,prob_happy,prob_sad,prob_angry,prob_fearful,prob_disgust,prob_surprise,embedding_path,embedding_dim
1_1,audio_1_01,audio_1_01,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_01.wav,1,train,01,0,neutral,01,01,01,6,disgust,0.101182,0.145547,0.128653,0.127816,0.160219,0.096529,0.161987,0.078067,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_01.npy,96
1_2,audio_1_02,audio_1_02,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_02.wav,1,train,07,6,disgust,01,01,01,6,disgust,0.092421,0.111223,0.123429,0.123637,0.181385,0.101632,0.182256,0.084018,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_02.npy,96
1_3,audio_1_03,audio_1_03,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_03.wav,1,train,01,0,neutral,01,01,01,6,disgust,0.093167,0.107237,0.117737,0.130959,0.174857,0.109064,0.185321,0.081657,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_03.npy,96
1_4,audio_1_04,audio_1_04,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_04.wav,1,train,05,4,angry,01,01,01,4,angry,0.095564,0.11254,0.122552,0.121906,0.186834,0.099363,0.175924,0.085317,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_04.npy,96
1_5,audio_1_05,audio_1_05,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_05.wav,1,train,01,0,neutral,01,01,01,4,angry,0.094552,0.154759,0.132251,0.121244,0.173514,0.115147,0.137481,0.071053,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_05.npy,96
1_6,audio_1_06,audio_1_06,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_06.wav,1,train,02,1,calm,01,01,01,4,angry,0.091731,0.13752,0.134066,0.117868,0.183143,0.106397,0.153288,0.075988,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_06.npy,96
1_7,audio_1_07,audio_1_07,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_07.wav,1,train,04,3,sad,01,01,01,4,angry,0.101084,0.137255,0.119375,0.121525,0.170505,0.121167,0.157219,0.07187,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_07.npy,96
1_8,audio_1_08,audio_1_08,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_08.wav,1,train,06,5,fearful,01,01,01,6,disgust,0.094747,0.12288,0.121155,0.115316,0.17621,0.108271,0.179664,0.081757,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_08.npy,96
1_9,audio_1_09,audio_1_09,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_09.wav,1,train,05,4,angry,01,01,01,4,angry,0.096803,0.151964,0.135558,0.116229,0.17688,0.100987,0.143661,0.077918,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_09.npy,96
1_10,audio_1_10,audio_1_10,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_10.wav,1,train,02,1,calm,01,01,01,4,angry,0.09275,0.144684,0.135023,0.118738,0.178,0.096233,0.153774,0.080799,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_10.npy,96
