av_key,split,actor_id,label_id,label_name,emotion_code,intensity_code,statement_code,repetition_code,audio_sample_id,audio_wav_path,audio_pred_id,audio_pred_name,audio_embedding_path,audio_embedding_dim,video_sample_id,video_path,video_pred_id,video_pred_name,video_sequence_path,video_sequence_num_frames,video_sequence_feature_dim,video_sequence_source,video_prediction_source,audio_prob_neutral,audio_prob_calm,audio_prob_happy,audio_prob_sad,audio_prob_angry,audio_prob_fearful,audio_prob_disgust,audio_prob_surprise,video_prob_neutral,video_prob_calm,video_prob_happy,video_prob_sad,video_prob_angry,video_prob_fearful,video_prob_disgust,video_prob_surprise
01-01-01-01-01-01,train,1,0,neutral,01,01,01,01,03-01-01-01-01-01-01,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-01.npy,96,02-01-01-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-01-01-01.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-01.npy,5,2048,canonical_02,canonical_02,0.252645,0.115753,0.10358,0.08257,0.113358,0.097017,0.115571,0.119505,0.9648319959640503,0.00599236055277288,0.00485762320458889,0.005008773785084486,0.005227788724005223,0.004017106583341956,0.005222412664443255,0.004841918265447021
01-01-01-01-01-02,train,2,0,neutral,01,01,01,01,03-01-01-01-01-01-02,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-01-02.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-02.npy,96,02-01-01-01-01-01-02,data/raw/ravdess/video_speech/Video_Speech_Actor_02/Actor_02/02-01-01-01-01-01-02.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-02.npy,5,2048,canonical_02,canonical_02,0.246202,0.088789,0.103228,0.115378,0.106713,0.094592,0.101151,0.143948,0.9455941557884217,0.006911338400095701,0.007415972370654345,0.009601126611232757,0.006246409751474858,0.0066931254230439665,0.008387344144284724,0.00915052080526948
01-01-01-01-01-03,train,3,0,neutral,01,01,01,01,03-01-01-01-01-01-03,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-01-03.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-03.npy,96,02-01-01-01-01-01-03,data/raw/ravdess/video_speech/Video_Speech_Actor_03/Actor_03/02-01-01-01-01-01-03.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-03.npy,5,2048,canonical_02,canonical_02,0.254565,0.108776,0.113323,0.145298,0.106495,0.065003,0.092363,0.114176,0.8571528315544128,0.0045953338034451004,0.006186241004616022,0.0072984993923455475,0.008021354861557483,0.1027908556163311,0.006697792187333107,0.007257076818495989
01-01-01-01-01-04,train,4,0,neutral,01,01,01,01,03-01-01-01-01-01-04,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-01-01-04.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-04.npy,96,02-01-01-01-01-01-04,data/raw/ravdess/video_speech/Video_Speech_Actor_04/Actor_04/02-01-01-01-01-01-04.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-04.npy,5,2048,canonical_02,canonical_02,0.261108,0.11559,0.11118,0.102648,0.113198,0.075104,0.101364,0.119809,0.9655011415481567,0.004599452996626496,0.004776921030133963,0.004322667745873332,0.004757437668740749,0.00477487025782466,0.005700239073485136,0.005567292310297489
01-01-01-01-01-05,train,5,0,neutral,01,01,01,01,03-01-01-01-01-01-05,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-01-05.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-05.npy,96,02-01-01-01-01-01-05,data/raw/ravdess/video_speech/Video_Speech_Actor_05/Actor_05/02-01-01-01-01-01-05.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-05.npy,5,2048,canonical_02,canonical_02,0.24198,0.153745,0.077647,0.08975,0.121354,0.100459,0.090863,0.124201,0.9647700548171997,0.004769403953105211,0.004938513319939375,0.005934068374335766,0.004760855017229915,0.004037901060655713,0.00586227448657155,0.004926942568272352
01-01-01-01-01-06,train,6,0,neutral,01,01,01,01,03-01-01-01-01-01-06,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-01-01-06.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-06.npy,96,02-01-01-01-01-01-06,data/raw/ravdess/video_speech/Video_Speech_Actor_06/Actor_06/02-01-01-01-01-01-06.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-06.npy,5,2048,canonical_02,canonical_02,0.256122,0.09099,0.120165,0.110386,0.097158,0.085227,0.126074,0.113877,0.9540955662727356,0.0048084387090057135,0.006495750695466995,0.008209091611206532,0.005125639401376248,0.006162942014634609,0.0073485996574163435,0.00775397215038538
01-01-01-01-01-07,train,7,0,neutral,01,01,01,01,03-01-01-01-01-01-07,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_07/03-01-01-01-01-01-07.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-07.npy,96,02-01-01-01-01-01-07,data/raw/ravdess/video_speech/Video_Speech_Actor_07/Actor_07/02-01-01-01-01-01-07.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-07.npy,5,2048,canonical_02,canonical_02,0.261861,0.113698,0.123926,0.094143,0.113424,0.088495,0.107835,0.096618,0.9622151494026184,0.004998723091557622,0.00457438281737268,0.006011298764497042,0.0050899402238428594,0.004786182707175612,0.00593818947672844,0.006386162713170052
01-01-01-01-01-08,train,8,0,neutral,01,01,01,01,03-01-01-01-01-01-08,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-01-01-08.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-08.npy,96,02-01-01-01-01-01-08,data/raw/ravdess/video_speech/Video_Speech_Actor_08/Actor_08/02-01-01-01-01-01-08.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-08.npy,5,2048,canonical_02,canonical_02,0.236332,0.118375,0.096461,0.13428,0.091219,0.08835,0.083872,0.151112,0.9598996043205261,0.0037791285663843154,0.0039036328438669444,0.007887201244011521,0.00756134232506156,0.004743265314027667,0.005628040572628379,0.006597802601754665
01-01-01-01-01-09,train,9,0,neutral,01,01,01,01,03-01-01-01-01-01-09,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_09/03-01-01-01-01-01-09.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-09.npy,96,02-01-01-01-01-01-09,data/raw/ravdess/video_speech/Video_Speech_Actor_09/Actor_09/02-01-01-01-01-01-09.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-09.npy,5,2048,canonical_02,canonical_02,0.249092,0.119101,0.107415,0.097074,0.110945,0.102501,0.092502,0.12137,0.962617301940918,0.0051886911503970625,0.004462117934599519,0.005472474917769432,0.004140057554468513,0.005345209920778871,0.005952952150255442,0.006821130961179733
01-01-01-01-01-10,train,10,0,neutral,01,01,01,01,03-01-01-01-01-01-10,data/raw/ravdess/audio_speech/Audio_Speech_Actors_01-24/Actor_10/03-01-01-01-01-01-10.wav,0,neutral,/home/tonyhe/ravdess_avfusion/external/audio_ser_speechbrain/speechbrain-develop-main/outputs/embeddings_ECAPA/train/03-01-01-01-01-01-10.npy,96,02-01-01-01-01-01-10,data/raw/ravdess/video_speech/Video_Speech_Actor_10/Actor_10/02-01-01-01-01-01-10.mp4,0,neutral,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-10.npy,5,2048,canonical_02,canonical_02,0.243225,0.11604,0.113345,0.086552,0.109359,0.086038,0.116283,0.129158,0.9549044728279114,0.005642492417246103,0.006237486470490694,0.006530553195625543,0.004561520786955953,0.005675772950053215,0.0069593795575201515,0.009488260094076394
