av_key,sample_id,stem,video_path,actor_id,split,emotion_code,label_id,label_name,intensity_code,statement_code,repetition_code,sequence_video_id,sequence_video_id_source,sequence_path,sequence_num_frames,sequence_feature_dim,prediction_video_id,prediction_video_id_source,prediction_frame_count,pred_id,pred_name,prob_neutral,prob_calm,prob_happy,prob_sad,prob_angry,prob_fearful,prob_disgust,prob_surprise,has_sequence,has_prediction,late_fusion_ready,artifact_status
01-01-01-01-01-01,02-01-01-01-01-01-01,02-01-01-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-01-01-01.mp4,1,train,01,0,neutral,01,01,01,02-01-01-01-01-01-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-01-01.npy,5,2048,02-01-01-01-01-01-01,canonical_02,5,0,neutral,0.9648319959640503,0.00599236055277288,0.00485762320458889,0.005008773785084486,0.005227788724005223,0.004017106583341956,0.005222412664443255,0.004841918265447021,1,1,1,complete
01-01-01-01-02-01,02-01-01-01-01-02-01,02-01-01-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-01-02-01.mp4,1,train,01,0,neutral,01,01,02,02-01-01-01-01-02-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-01-02-01.npy,5,2048,02-01-01-01-01-02-01,canonical_02,5,0,neutral,0.9534305691719055,0.011578790238127112,0.006141478288918733,0.005746968695893884,0.005020424257963896,0.004639426339417696,0.006644805707037449,0.00679754582233727,1,1,1,complete
01-01-01-02-01-01,02-01-01-01-02-01-01,02-01-01-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-02-01-01.mp4,1,train,01,0,neutral,01,02,01,02-01-01-01-02-01-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-02-01-01.npy,5,2048,02-01-01-01-02-01-01,canonical_02,5,0,neutral,0.9466735243797302,0.011278372444212436,0.005577186681330204,0.00786327626556158,0.009519783686846495,0.004950248170644045,0.007194364909082651,0.006943201227113604,1,1,1,complete
01-01-01-02-02-01,02-01-01-01-02-02-01,02-01-01-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-01-01-02-02-01.mp4,1,train,01,0,neutral,01,02,02,02-01-01-01-02-02-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-01-01-02-02-01.npy,5,2048,02-01-01-01-02-02-01,canonical_02,5,0,neutral,0.904268455505371,0.04028484988957644,0.008406507596373559,0.009825614839792251,0.014236599067226052,0.00606543174944818,0.009241163544356824,0.007671367656439543,1,1,1,complete
01-02-01-01-01-01,02-01-02-01-01-01-01,02-01-02-01-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-01-01-01.mp4,1,train,02,1,calm,01,01,01,02-01-02-01-01-01-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-02-01-01-01-01.npy,5,2048,02-01-02-01-01-01-01,canonical_02,5,1,calm,0.020636072009801866,0.9099305510520935,0.01243588849902153,0.010120081994682551,0.010636573005467654,0.008582312986254692,0.014157304167747497,0.0135011974722147,1,1,1,complete
01-02-01-01-02-01,02-01-02-01-01-02-01,02-01-02-01-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-01-02-01.mp4,1,train,02,1,calm,01,01,02,02-01-02-01-01-02-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-02-01-01-02-01.npy,5,2048,02-01-02-01-01-02-01,canonical_02,5,1,calm,0.020010960660874842,0.91000816822052,0.009734874404966832,0.01291864961385727,0.009861343167722225,0.01057512704282999,0.013062506541609764,0.01382840471342206,1,1,1,complete
01-02-01-02-01-01,02-01-02-01-02-01-01,02-01-02-01-02-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-02-01-01.mp4,1,train,02,1,calm,01,02,01,02-01-02-01-02-01-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-02-01-02-01-01.npy,5,2048,02-01-02-01-02-01-01,canonical_02,5,1,calm,0.021665866300463677,0.8922130584716796,0.01297781579196453,0.012861732952296734,0.015389931946992874,0.011373649816960096,0.016608488000929355,0.016909463331103325,1,1,1,complete
01-02-01-02-02-01,02-01-02-01-02-02-01,02-01-02-01-02-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-01-02-02-01.mp4,1,train,02,1,calm,01,02,02,02-01-02-01-02-02-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-02-01-02-02-01.npy,5,2048,02-01-02-01-02-02-01,canonical_02,5,1,calm,0.022806254029273988,0.9127430319786072,0.008135392609983683,0.01154051600024104,0.01198235535994172,0.01004678513854742,0.01288203913718462,0.009863618668168784,1,1,1,complete
01-02-02-01-01-01,02-01-02-02-01-01-01,02-01-02-02-01-01-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-01-01-01.mp4,1,train,02,1,calm,02,01,01,02-01-02-02-01-01-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-02-02-01-01-01.npy,5,2048,02-01-02-02-01-01-01,canonical_02,5,1,calm,0.0304732296615839,0.8966875433921814,0.009612699598073959,0.013105548918247223,0.010333314724266528,0.011645321175456047,0.014261448010802268,0.013880880549550056,1,1,1,complete
01-02-02-01-02-01,02-01-02-02-01-02-01,02-01-02-02-01-02-01,data/raw/ravdess/video_speech/Video_Speech_Actor_01/Actor_01/02-01-02-02-01-02-01.mp4,1,train,02,1,calm,02,01,02,02-01-02-02-01-02-01,canonical_02,/home/tonyhe/ravdess_avfusion/external/video_face_branch/early_fusion_facial_v2/fusion_pack_5f/sequences/02-01-02-02-01-02-01.npy,5,2048,02-01-02-02-01-02-01,canonical_02,5,1,calm,0.024024273082613946,0.8935936689376831,0.011241229996085168,0.01310898419469595,0.0130328468978405,0.011719408072531223,0.015349778346717358,0.017929825000464916,1,1,1,complete
