sample_id,wav,duration,split,actor,emotion_code,intensity_code,statement_code,repetition_code,label_name,label_id
03-01-01-01-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,3.3033,train,1,01,01,01,01,neutral,0
03-01-01-01-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,3.3367,train,1,01,01,01,02,neutral,0
03-01-01-01-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,3.2699,train,1,01,01,02,01,neutral,0
03-01-01-01-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,3.1698,train,1,01,01,02,02,neutral,0
03-01-02-01-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-01-01.wav,3.5369,train,1,02,01,01,01,calm,1
03-01-02-01-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-01-02-01.wav,3.6036,train,1,02,01,01,02,calm,1
03-01-02-01-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-01-01.wav,3.5035,train,1,02,01,02,01,calm,1
03-01-02-01-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-02-01-02-02-01.wav,3.4701,train,1,02,01,02,02,calm,1
03-01-02-02-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-01-01.wav,3.7037,train,1,02,02,01,01,calm,1
03-01-02-02-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-01-02-01.wav,4.004,train,1,02,02,01,02,calm,1
03-01-02-02-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-01-01.wav,4.2042,train,1,02,02,02,01,calm,1
03-01-02-02-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-02-02-02-02-01.wav,4.004,train,1,02,02,02,02,calm,1
03-01-03-01-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,3.4701,train,1,03,01,01,01,happy,2
03-01-03-01-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,3.4701,train,1,03,01,01,02,happy,2
03-01-03-01-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,3.5369,train,1,03,01,02,01,happy,2
03-01-03-01-02-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-02-01.wav,3.7037,train,1,03,01,02,02,happy,2
03-01-03-02-01-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav,3.6703,train,1,03,02,01,01,happy,2
03-01-03-02-01-02-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-02-01.wav,3.637,train,1,03,02,01,02,happy,2
03-01-03-02-02-01-01,C:/Users/NannanLi/Desktop/Ravdess/Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav,3.9373,train,1,03,02,02,01,happy,2
