pair,dimension,dimension_group,label_a,label_b,n,a_win_rate,b_win_rate,tie_rate,avg_score_a,avg_score_b
early_vs_baseline,D1,quality,early fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,26.0,4.0,70.0,4.46,4.33
early_vs_baseline,D2,quality,early fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,26.0,4.0,70.0,4.49,4.37
early_vs_baseline,D3,quality,early fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,4.0,8.0,88.0,4.5,4.52
early_vs_baseline,D4,quality,early fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,14.0,4.0,82.0,4.52,4.47
early_vs_baseline,D5,quality,early fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,0.0,0.0,100.0,4.54,4.54
early_vs_baseline,D6,mechanism,early fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,94.0,0.0,6.0,3.82,2.24
early_vs_baseline,OVERALL_D1_D5,overall,early fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,28.0,8.0,64.0,87.55,86.15
early_vs_late,D1,quality,early fusion (no PPG in classifier) + PPG in prompt,late fusion (no PPG in classifier) + PPG in prompt,50,0.0,4.0,96.0,4.46,4.48
early_vs_late,D2,quality,early fusion (no PPG in classifier) + PPG in prompt,late fusion (no PPG in classifier) + PPG in prompt,50,0.0,4.0,96.0,4.54,4.56
early_vs_late,D3,quality,early fusion (no PPG in classifier) + PPG in prompt,late fusion (no PPG in classifier) + PPG in prompt,50,2.0,2.0,96.0,4.61,4.61
early_vs_late,D4,quality,early fusion (no PPG in classifier) + PPG in prompt,late fusion (no PPG in classifier) + PPG in prompt,50,4.0,8.0,88.0,4.58,4.6
early_vs_late,D5,quality,early fusion (no PPG in classifier) + PPG in prompt,late fusion (no PPG in classifier) + PPG in prompt,50,0.0,0.0,100.0,4.62,4.62
early_vs_late,D6,mechanism,early fusion (no PPG in classifier) + PPG in prompt,late fusion (no PPG in classifier) + PPG in prompt,50,0.0,2.0,98.0,3.53,3.54
early_vs_late,OVERALL_D1_D5,overall,early fusion (no PPG in classifier) + PPG in prompt,late fusion (no PPG in classifier) + PPG in prompt,50,6.0,10.0,84.0,89.05,89.35
late_vs_baseline,D1,quality,late fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,30.0,0.0,70.0,4.43,4.22
late_vs_baseline,D2,quality,late fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,32.0,0.0,68.0,4.51,4.3
late_vs_baseline,D3,quality,late fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,10.0,10.0,80.0,4.53,4.53
late_vs_baseline,D4,quality,late fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,16.0,2.0,82.0,4.57,4.5
late_vs_baseline,D5,quality,late fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,0.0,0.0,100.0,4.58,4.58
late_vs_baseline,D6,mechanism,late fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,94.0,0.0,6.0,3.92,2.22
late_vs_baseline,OVERALL_D1_D5,overall,late fusion (no PPG in classifier) + PPG in prompt,text-only baseline,50,38.0,4.0,58.0,88.1,85.65
