pair,dimension,dimension_group,label_a,label_b,n,a_win_rate,b_win_rate,tie_rate,avg_score_a,avg_score_b
feature_vs_early,D1,quality,feature-based external system,"early fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,5.5,17.5,77.0,4.162,4.232
feature_vs_early,D2,quality,feature-based external system,"early fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,5.0,33.0,62.0,4.048,4.212
feature_vs_early,D3,quality,feature-based external system,"early fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,49.0,2.0,49.0,4.97,4.715
feature_vs_early,D4,quality,feature-based external system,"early fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,32.5,15.5,52.0,4.852,4.77
feature_vs_early,D5,quality,feature-based external system,"early fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,0.5,0.0,99.5,5.0,4.998
feature_vs_early,D6,mechanism,feature-based external system,"early fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,0.0,100.0,0.0,2.68,4.01
feature_vs_early,OVERALL_D1_D5,overall,feature-based external system,"early fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,41.5,28.5,30.0,90.162,89.638
feature_vs_late,D1,quality,feature-based external system,"late fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,7.5,24.5,68.0,4.022,4.125
feature_vs_late,D2,quality,feature-based external system,"late fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,9.0,41.5,49.5,3.872,4.093
feature_vs_late,D3,quality,feature-based external system,"late fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,47.0,2.5,50.5,4.965,4.705
feature_vs_late,D4,quality,feature-based external system,"late fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,28.0,16.5,55.5,4.832,4.772
feature_vs_late,D5,quality,feature-based external system,"late fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,0.5,0.5,99.0,4.995,4.995
feature_vs_late,D6,mechanism,feature-based external system,"late fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,0.0,99.0,1.0,2.505,3.82
feature_vs_late,OVERALL_D1_D5,overall,feature-based external system,"late fusion (RAVDESS-pretrained, inference-only) + 5-feature PPG in prompt",200,37.0,35.5,27.5,88.438,88.45
